attribution_source,company_id,cost_center_manager_name,department_id,division_manager_name,employee_id,loan_id,loan_org_attr_id,login_bundle_id,product_id,region_manager_name,reporting_period_id,state_id,vp_id
Duke Data V4,1,Susan Williams,1,Mark Perez,1,1,1,1,1,Matthew Wright,1,1,1
Duke Data V4,1,Thomas Lee,2,Lisa Wright,2,2,2,2,2,Emily Walker,1,2,2
Duke Data V4,1,Thomas Lee,3,Lisa Wright,3,2,3,2,2,Emily Walker,1,2,2
Duke Data V4,1,Thomas Lee,4,Lisa Wright,4,2,4,2,2,Emily Walker,1,2,2
Duke Data V4,1,Thomas Lee,5,Lisa Wright,5,2,5,2,2,Emily Walker,1,2,2
Duke Data V4,1,Thomas Lee,6,Lisa Wright,6,2,6,2,2,Emily Walker,1,2,2
Duke Data V4,1,James Garcia,2,John Davis,7,3,7,3,3,John Davis,1,3,3
Duke Data V4,1,James Garcia,1,John Davis,8,3,8,3,3,John Davis,1,3,3
Duke Data V4,1,James Garcia,3,John Davis,9,3,9,3,3,John Davis,1,3,3
Duke Data V4,1,James Garcia,7,John Davis,10,3,10,3,3,John Davis,1,3,3
Duke Data V4,1,Richard Brown,8,Christopher Ramirez,11,4,11,4,4,Karen Sanchez,1,4,4
Duke Data V4,1,Richard Brown,3,Christopher Ramirez,12,4,12,4,4,Karen Sanchez,1,4,4
Duke Data V4,1,Kimberly Flores,3,Mark Perez,13,5,13,5,5,Margaret Gonzalez,1,5,5
Duke Data V4,1,Richard Young,2,Karen Clark,14,6,14,6,6,Linda Taylor,1,6,6
Duke Data V4,1,Richard Young,3,Karen Clark,15,6,15,6,6,Linda Taylor,1,6,6
Duke Data V4,1,Richard Young,9,Karen Clark,16,6,16,6,6,Linda Taylor,1,6,6
Duke Data V4,1,Richard Young,2,Karen Clark,17,6,17,6,6,Linda Taylor,1,6,6
Duke Data V4,1,William Hernandez,3,Mark Perez,18,7,18,7,7,Matthew Wright,1,1,7
Duke Data V4,1,William Hernandez,2,Mark Perez,19,7,19,7,7,Matthew Wright,1,1,7
Duke Data V4,1,William Hernandez,2,Mark Perez,20,7,20,7,7,Matthew Wright,1,1,7
Duke Data V4,1,Susan Wilson,3,Susan Wilson,21,8,21,8,7,Susan Wilson,1,4,8
Duke Data V4,1,Susan Wilson,1,Susan Wilson,22,8,22,8,7,Susan Wilson,1,4,8
Duke Data V4,1,Steven Williams,10,Lisa King,23,9,23,9,7,Mary Lewis,1,7,9
Duke Data V4,1,Steven Williams,11,Lisa King,24,9,24,9,7,Mary Lewis,1,7,9
Duke Data V4,1,Steven Williams,11,Lisa King,23,9,25,9,7,Mary Lewis,1,7,9
Duke Data V4,1,Steven Williams,2,Lisa King,25,9,26,9,7,Mary Lewis,1,7,9
Duke Data V4,1,Susan Wilson,1,Susan Wilson,22,10,27,8,7,Susan Wilson,1,8,10
Duke Data V4,1,Charles Miller,2,Mark Perez,26,11,28,10,4,Anthony Wilson,1,9,11
Duke Data V4,1,"Margaret Perez,Patricia King",3,Christopher Ramirez,27,12,29,11,1,Karen Sanchez,1,4,12
Duke Data V4,1,"Margaret Perez,Patricia King",6,Christopher Ramirez,6,12,30,11,1,Karen Sanchez,1,4,12
Duke Data V4,1,Jessica Anderson,2,Christopher Ramirez,28,13,31,12,8,Karen Young,1,4,13
Duke Data V4,1,Charles Anderson,3,Lisa King,29,14,32,13,7,John Harris,1,10,14
Duke Data V4,1,Charles Anderson,2,Lisa King,30,14,33,13,7,John Harris,1,10,14
Duke Data V4,1,John Lewis,5,Mark Perez,31,15,34,14,9,Margaret Gonzalez,1,5,15
Duke Data V4,1,John Lewis,8,Mark Perez,32,15,35,14,9,Margaret Gonzalez,1,5,15
Duke Data V4,1,Lisa King,1,Lisa King,33,16,36,15,10,Mary Lewis,1,7,16
Duke Data V4,1,Lisa King,11,Lisa King,34,16,37,15,10,Mary Lewis,1,7,16
Duke Data V4,1,Lisa King,10,Lisa King,35,16,38,15,10,Mary Lewis,1,7,16
Duke Data V4,1,Lisa King,3,Lisa King,36,16,39,15,10,Mary Lewis,1,7,16
Duke Data V4,1,Lisa King,2,Lisa King,37,16,40,15,10,Mary Lewis,1,7,16
Duke Data V4,2,Betty Brown,2,Margaret Thompson,38,17,41,16,5,Christopher Flores,1,9,17
Duke Data V4,2,Betty Brown,2,Margaret Thompson,39,17,42,16,5,Christopher Flores,1,9,17
Duke Data V4,2,Linda Smith,8,Emily Miller,40,18,43,17,11,Linda Smith,1,11,18
Duke Data V4,2,"Michelle Thomas,Christopher Wilson",8,Emily Miller,41,19,44,18,12,William Allen,1,1,19
Duke Data V4,2,"Michelle Thomas,Christopher Wilson",2,Emily Miller,42,19,45,18,12,William Allen,1,1,19
Duke Data V4,2,"Michelle Thomas,Christopher Wilson",4,Emily Miller,43,19,46,18,12,William Allen,1,1,19
Duke Data V4,2,"Sarah Lee,David Lee,John White",1,Margaret Rodriguez,44,20,47,19,1,Charles White,1,12,20
Duke Data V4,2,"Sarah Lee,David Lee,John White",5,Margaret Rodriguez,45,20,48,19,1,Charles White,1,12,20
Duke Data V4,2,"Sarah Lee,David Lee,John White",4,Margaret Rodriguez,46,20,49,19,1,Charles White,1,12,20
Duke Data V4,2,"Sarah Lee,David Lee,John White",3,Margaret Rodriguez,47,20,50,19,1,Charles White,1,12,20
Duke Data V4,2,"Sarah Lee,David Lee,John White",2,Margaret Rodriguez,48,20,51,19,1,Charles White,1,12,20
Duke Data V4,2,Michelle Clark,4,Margaret Rodriguez,49,21,52,20,1,Patricia Wilson,1,13,21
Duke Data V4,2,Michelle Clark,3,Margaret Rodriguez,50,21,53,20,1,Patricia Wilson,1,13,21
Duke Data V4,2,Michelle Clark,2,Margaret Rodriguez,51,21,54,20,1,Patricia Wilson,1,13,21
Duke Data V4,2,Mark Wright,3,Margaret Thompson,52,22,55,21,13,Margaret Thompson,1,14,22
Duke Data V4,2,Mark Wright,2,Margaret Thompson,53,22,56,21,13,Margaret Thompson,1,14,22
Duke Data V4,3,Kimberly Flores,7,James Torres,54,23,57,22,3,James Torres,1,4,23
Duke Data V4,3,Kimberly Flores,4,James Torres,55,23,58,22,3,James Torres,1,4,23
Duke Data V4,3,Kimberly Flores,8,James Torres,56,24,59,22,1,James Torres,1,4,24
Duke Data V4,3,Kimberly Flores,2,James Torres,57,24,60,22,1,James Torres,1,4,24
Duke Data V4,3,Kimberly Flores,1,James Torres,58,25,61,22,4,James Torres,1,4,25
Duke Data V4,4,Kimberly Flores,1,Christopher Lopez,59,26,62,23,14,Linda Jackson,1,13,26
