borrower_last,builder_name,fico,forward_commitment,fund_date,loan_amount,loan_id,loan_number,purpose
Donna Hernandez,James Flores,693,N,2025-01-02,172500,1,1579837250,Purchase
John Scott,Thomas Moore,708,N,2025-01-02,238120,2,6594713854,Purchase
Elizabeth King,"Daniel Taylor,Matthew Jones",768,N,2025-01-02,3499950,3,1573039163,Purchase
Kimberly Thomas,Anthony Johnson,705,N,2025-01-02,681200,4,5191256372,Purchase
Sarah Allen,,711,N,2025-01-02,663000,5,8739017812,NoCash-Out Refinance
Lisa Flores,,692,N,2025-01-02,223850,6,9676887849,Cash-Out Refinance
Donna Wilson,Paul Gonzalez,685,N,2025-01-02,100000,7,7255443700,Purchase
Thomas Harris,John Wright,794,N,2025-01-02,337500,8,5539085720,Purchase
Emily Harris,Andrew Thompson,797,N,2025-01-02,445500,9,9036183065,Purchase
Karen Anderson,Margaret Flores,705,N,2025-01-02,404000,10,5516870612,Purchase
Jessica Thompson,Donna Sanchez,706,N,2025-01-02,800000,11,8574991296,Purchase
Thomas Taylor,Linda Young,720,N,2025-01-02,460750,12,8519177688,Purchase
Emily Miller,David Brown,808,N,2025-01-02,432030,13,1476375757,Purchase
Richard Brown,,719,N,2025-01-02,489000,14,2643022543,NoCash-Out Refinance
Susan Hill,William Young,586,N,2025-01-02,481124,15,6263576683,Purchase
Richard Allen,,772,N,2025-01-02,890000,16,9378674329,NoCash-Out Refinance
John Moore,James Torres,808,N,2025-01-02,345000,17,8350323559,Purchase
James Anderson,Sarah Walker,717,N,2025-01-02,25000,18,7840906468,Purchase
Daniel Young,Donald Wright,699,N,2025-01-02,446758,19,5594067339,Purchase
Michael Brown,,679,N,2025-01-02,193800,20,8884400413,NoCash-Out Refinance
Charles Sanchez,Emily Ramirez,718,N,2025-01-02,237500,21,3301812455,Purchase
Ashley Wilson,,628,N,2025-01-02,175000,22,4430218908,Cash-Out Refinance
Ashley Thompson,Anthony White,820,N,2025-01-02,2525000,23,3091500073,Purchase
Joshua Martin,Jessica Scott,788,N,2025-01-02,600000,24,6749369122,Purchase
James Flores,Matthew Anderson,780,N,2025-01-02,1950000,25,7799870511,Purchase
