report_month,vp,loan_count,loan_volume,total_revenue,total_expense,contribution_margin,margin_pct,active_sales_hc,active_non_producing_sales_hc,productivity,bonus_spend_proxy,roi,event_compensafe_amt,event_rent_amt,event_payroll_amt,event_no_loan_bucket_rows,exception_flag,exception_reason
2025-01-01,Andrew Brown,2,654090,1073.4445,88288.1064,-87214.6619,-81.247481,11,4,97.585864,-2960.625,-0.362574,0,88640.6,0,9,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Flores,3,1123265,1008.5902,754545.5778,-753536.9876,-747.119085,63,34,16.009368,0,,0,754750.8,0,23,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Garcia,4,668746,682.7616,61618.182,-60935.4204,-89.248459,11,4,62.069236,-5288.45625,-0.129104,0,62370,0,15,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Gonzalez,1,218250,437.457,3657.1373,-3219.6803,-7.359993,3,1,145.819,0,,0,3900,0,3,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Harris,2,935850,816.2629,24410.3878,-23594.1249,-28.905056,3,1,272.087633,-3704.4,-0.22035,0,24677.68,0,7,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Johnson,1,0,0,4430.88,-4430.88,,4,3,0,0,,0,4430.88,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Andrew Jones,1,281300,599.8455,-189.1002,788.9457,1.315248,6,3,99.97425,-1406.5,-0.426481,0,0,0,4,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew King,1,10000,-1924.03,4908.44,-6832.47,3.551124,4,2,-481.0075,0,,0,4911.44,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Lee,2,597000,1334.1274,22176.7583,-20842.6309,-15.622669,7,2,190.589629,-708.75,-1.882367,0,22534.4,0,3,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Lewis,1,0,0,33122.95,-33122.95,,63,34,0,0,,0,33122.95,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Andrew Miller,1,459705,129.9926,2283.1226,-2153.13,-16.563481,3,1,43.330867,0,,0,2400,0,0,1,margin_outlier
2025-01-01,Andrew Moore,4,934659,2688.8131,57044.3568,-54355.5437,-20.215441,10,6,268.88131,-11920.125,-0.225569,0,58000,0,23,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Perez,2,376815,851.8593,6258.0725,-5406.2132,-6.346369,1,1,851.8593,0,,0,6400,0,3,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Robinson,1,299900,327.5067,-73.9851,401.4918,1.225904,2,1,163.75335,-749.75,-0.436821,0,94.37,0,1,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Rodriguez,4,1036102.51,5715.0674,297462.6796,-291747.6122,-51.048849,31,20,184.357013,-9880,-0.578448,0,300032.7,0,18,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Scott,2,636570,1199.7466,1913.8967,-714.1501,-0.595251,11,7,109.067873,0,,0,2250,0,3,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Smith,2,3107000,360.9337,904.1662,-543.2325,-1.505076,3,1,120.311233,0,,0,1027.05,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Taylor,1,0,0,1570,-1570,,4,2,0,0,,0,1570,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Andrew Thompson,6,3810331,1095.2972,138561.0254,-137465.7282,-125.505414,6,2,182.549533,0,,0,138990.64,0,17,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Walker,2,2461309,806.8193,142622.1536,-141815.3343,-175.770875,6,4,134.469883,0,,0,142767.36,0,11,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Williams,4,1647020,1520.7478,14462.0517,-12941.3039,-8.509829,9,6,168.971978,-2176.48,-0.698719,0,14775.96,0,8,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Andrew Wilson,2,2290780,766.4373,8832.4847,-8066.0474,-10.52408,2,1,383.21865,0,,0,9000,0,6,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Andrew Young,1,1125000,291.5699,3293.4667,-3001.8968,-10.295633,3,1,97.189967,0,,0,3343,0,1,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Allen,1,230000,585.0613,23492.5313,-22907.47,-39.153966,7,3,83.580186,-4025,-0.145357,0,23723.14,0,4,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Anderson,2,184000,597.6598,27844.0091,-27246.3493,-45.588392,8,6,74.707475,-5520,-0.108272,0,28131.52,0,3,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Brown,3,321603,-269.0023,-389.1912,120.1889,-0.446795,6,4,-44.833717,0,,0,0,0,11,1,contains_no_loan_bucket_rows
2025-01-01,Anthony Clark,2,432250,542.7195,3275.8894,-2733.1699,-5.036064,5,5,108.5439,0,,0,3400,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Davis,1,0,0,5965.01,-5965.01,,5,3,0,0,,0,5965.01,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Anthony Gonzalez,6,3955821,2400.8898,69240.4672,-66839.5774,-27.839502,5,3,480.17796,-15917,-0.150838,0,70000,0,28,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Hill,1,705127,404.0289,56306.6819,-55902.653,-138.363006,29,17,13.932031,0,,0,56379.57,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Johnson,1,289700,112.5426,-83.0138,195.5564,1.737621,18,3,6.252367,-4055.8,-0.027749,0,0,0,2,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Jones,10,5669372,4707.7459,163393.7043,-158685.9584,-33.707418,8,4,588.468237,-18240.4625,-0.258094,0,164666.07,0,38,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony King,1,712500,291.6378,56702.8063,-56411.1685,-193.428865,17,7,17.155165,0,,0,56779.28,0,4,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Lee,6,3562761,3112.9911,247189.9514,-244076.9603,-78.405929,11,7,282.999191,-2903.915,-1.071998,0,248020.56,0,30,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Lewis,2,675112,1389.9093,12905.6057,-11515.6964,-8.285214,1,0,1389.9093,-2902.24,-0.478909,0,13312.55,0,6,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Lopez,2,560000,779.6637,16373.5086,-15593.8449,-20.000732,6,2,129.94395,0,,0,16529.08,0,6,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Perez,1,515211,709.1051,1545.7383,-836.6332,-1.179844,1,0,709.1051,0,,0,1644.99,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Robinson,3,1438999,765.2291,117933.568,-117168.3389,-153.115373,23,15,33.27083,-1695,-0.451463,0,118092.12,0,5,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Sanchez,1,475950,575.7399,177.2883,398.4516,0.692069,1,0,575.7399,0,,0,284.48,0,3,1,contains_no_loan_bucket_rows
2025-01-01,Anthony Scott,2,630000,279.6235,46467.9448,-46188.3213,-165.180399,23,15,12.157543,0,,0,46554.04,0,4,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Taylor,5,767361,-3668.6213,193654.064,-197322.6853,53.786605,17,9,-215.801253,0,,0,194476.94,0,11,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Thomas,2,1004000,1032.0614,5041.9595,-4009.8981,-3.885329,2,1,516.0307,-296,-3.486694,0,5294.86,0,3,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Thompson,1,648000,564.8701,2523.1111,-1958.241,-3.46671,3,1,188.290033,0,,0,2560,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Walker,2,1671500,584.4676,42499.8085,-41915.3409,-71.715423,6,2,97.411267,0,,0,42590.38,0,6,1,"contains_no_loan_bucket_rows,margin_outlier"
