report_month,vp,loan_number,fund_date,state,product_bucket_group,purpose,loan_amount,revenue_total_loan_level,expense_total_loan_level,los_revenue_amt,gl_fee_income_amt,gl_gos_amt,gl_oi_amt,gl_exception_amt,los_exception_amt,llr_amt,corporate_allocation_amt,source_row_count_under_loan_key
2025-01-01,Susan Williams,1579837250,2025-01-02,PA,Conventional,Purchase,172500,702.1777,-290.4783,271.5,76.0777,253,85,8.2997,8.3003,-3,-287.4783,6
2025-01-01,Joshua Gonzalez,6594713854,2025-01-02,MO,Conventional,Purchase,238120,531.0944,-211.2565,200,31.4942,95,160,22.3001,22.3001,-3.0002,-208.2563,8
2025-01-01,James Garcia,1573039163,2025-01-02,NY,Jumbo,Purchase,3499950,125.585,-17.1688,50,2.785,62.4,25,-7.3,-7.3,-3,-14.1688,7
2025-01-01,John Moore,5191256372,2025-01-02,CA,Jumbo,Purchase,681200,437.6032,-75.798,214,20.1032,129.5,124,-25,-25,-3,-72.798,2
2025-01-01,Elizabeth Martinez,8739017812,2025-01-02,VA,Conventional,NoCash-Out Refinance,663000,483.1009,-77.7964,248.5,-50.6991,132.5,79.2,36.8,36.8,-3,-74.7964,1
2025-01-01,Richard Young,9676887849,2025-01-02,CT,Government,Cash-Out Refinance,223850,507.9084,-224.5325,221.3,54.2086,112,98,11.1999,11.1999,-3.0002,-221.5323,4
2025-01-01,Joshua Smith,7255443700,2025-01-02,PA,Conventional,Purchase,100000,614.622,-498.9,113.3,159.322,243,125,-13,-13,-3,-495.9,7
2025-01-01,Karen Hill,5539085720,2025-01-02,CA,Conventional,Purchase,337500,429.6764,-149.9333,189.8,48.2764,163,24,2.2999,2.3001,-3,-146.9333,3
2025-01-01,Matthew Robinson,9036183065,2025-01-02,AZ,Conventional,Purchase,445500,566.0874,-114.3131,272.7,35.7874,183,106,-15.6999,-15.7001,-3,-111.3131,7
2025-01-01,Jessica Taylor,5516870612,2025-01-02,UT,Conventional,Purchase,404000,398.8592,-125.7475,181.4,33.6592,155,24,2.4,2.4,-3,-122.7475,3
2025-01-01,Charles Miller,8574991296,2025-01-02,FL,Jumbo,Purchase,800000,376.3075,-64.9875,116.8,10.5075,113.3,137.5,-0.9,-0.9,-3,-61.9875,9
2025-01-01,Betty Miller,8519177688,2025-01-02,CA,Conventional,Purchase,460750,513.4605,-110.629,238,32.4606,148,84.9999,4.9999,5.0001,-3.0001,-107.6289,10
2025-01-01,Sandra Martin,1476375757,2025-01-02,CA,Government,Purchase,432030,549.6973,-117.7837,224.3,25.9975,217,100,-8.8001,-8.8001,-3,-114.7837,7
2025-01-01,Matthew Williams,2643022543,2025-01-02,CO,Conventional,NoCash-Out Refinance,489000,480.5759,-104.411,233.3,31.9759,138,40.9,18.2,18.2,-3,-101.411,7
2025-01-01,Elizabeth Scott,6263576683,2025-01-02,VA,Government,Purchase,481124,587.5947,-106.0712,289.6,14.3948,230.1999,100,-23.3,-23.3,-3.0001,-103.0711,5
2025-01-01,Lisa King,9378674329,2025-01-02,AZ,Jumbo,NoCash-Out Refinance,890000,211.5929,-58.7191,124,15.8929,48,22.5,0.6,0.6,-3,-55.7191,14
2025-01-01,Betty Brown,8350323559,2025-01-02,FL,Conventional,Purchase,345000,558.4928,-154.7391,161.6,36.1928,150,210,,0.7,-3,-151.7391,2
2025-01-01,Joshua Johnson,7840906468,2025-01-02,MA,Conventional,Purchase,25000,-756.7,-3,0,-100.7,,,,-656,-3,,2
2025-01-01,Michelle Thomas,5594067339,2025-01-02,PA,Government,Purchase,446758,529.6885,-120.1776,237.5,23.3883,100,100,34.4001,34.4001,-3.0001,-117.1775,3
2025-01-01,Sarah Lee,8884400413,2025-01-02,NE,Conventional,NoCash-Out Refinance,193800,507.2963,-273.1238,233.9,75.7967,155,110,-33.7002,-33.7002,-3,-270.1238,9
2025-01-01,Andrew Moore,3301812455,2025-01-02,IL,Conventional,Purchase,237500,672.3728,-223.4211,254.1,40.4728,150,215,6.4,6.4,-3,-220.4211,6
2025-01-01,Mark Wright,4430218908,2025-01-02,MS,Government,Cash-Out Refinance,175000,496.828,-302.1429,200,-8.172,170,125,5,5,-3,-299.1429,5
2025-01-01,Donald Nguyen,3091500073,2025-01-02,CA,Jumbo,Purchase,2525000,238.1516,-22.5168,142.2,3.9516,56,35.6,0.2,0.2,-3,-19.5168,7
2025-01-01,Betty Young,6749369122,2025-01-02,CA,Conventional,Purchase,600000,487.9225,-85.1333,225.1,24.0225,158,80,0.4,0.4,-3,-82.1333,8
2025-01-01,Michael Lewis,7799870511,2025-01-02,CA,Jumbo,Purchase,1950000,326.7805,-28.2718,158.6,6.6805,89,66.7,2.9,2.9,-3,-25.2718,3
2025-01-01,Joseph Jackson,9020050995,2025-01-02,IL,Conventional,NoCash-Out Refinance,291500,444.1082,-172.8799,237.7,53.6082,174,80,-50.6,-50.6,-3,-169.8799,9
2025-01-01,Steven Jackson,8742456738,2025-01-02,IL,Conventional,Purchase,272000,411.6654,-185.0588,145.4,54.8654,180,78,-32.6,-14,-3,-182.0588,12
2025-01-01,Michael Jackson,3161337163,2025-01-03,MN,Conventional,Purchase,259200,526.2088,-194.3194,181.1,56.909,244,78,-16.9001,-16.9001,-3,-191.3194,6
2025-01-01,Matthew White,5569730083,2025-01-03,NJ,Conventional,Purchase,232750,657.0758,-216.0614,269.6,79.2756,233.0002,78,-1.3998,-1.4002,-3.0002,-213.0612,8
2025-01-01,Mark White,1294653008,2025-01-03,TX,Conventional,Purchase,513130,366.8554,-99.6422,123.8,21.4556,120.9999,104.9999,-2.2,-2.2,-3,-96.6422,8
2025-01-01,Kimberly Taylor,8705365339,2025-01-03,CA,Government,Purchase,758999,538.5188,-68.3361,261,14.1189,192,61.9999,4.7,4.7,-3,-65.3361,3
2025-01-01,David Lewis,1541818964,2025-01-03,VA,Government,Purchase,689900,232.6384,-74.88,171.6,-1.3616,181,78,-98.3,-98.3,-3,-71.88,12
2025-01-01,John Flores,8867625700,2025-01-03,WA,Conventional,Purchase,380000,655.5313,-133.5,308.8,26.7313,195,124,0.5,0.5,-3,-130.5,17
2025-01-01,Daniel Perez,7159907483,2025-01-03,SC,Conventional,Purchase,405000,313.6151,-125.4444,155.8,36.4151,165,24,-33.8,-33.8,-3,-122.4444,9
